infrastructure,ignoring,9903,user9903,regular,no attack,true negative
infrastructure,metric,2883,user2883,malicious,attack 1,false positive
infrastructure,log,2883,user2883,malicious,attack 1,true positive
infrastructure,trace,2883,user2883,malicious,attack 1,false positive
business,ignoring,248,user248,regular,no attack,true negative
business,metric,7894,user7894,malicious,attack 1,false positive
business,log,7894,user7894,malicious,attack 1,true positive
business,trace,7894,user7894,malicious,attack 1,false positive
infrastructure,ignoring,6913,user6913,malicious,attack 1,false negative
business,ignoring,9768,user9768,malicious,attack 2,false negative
business,ignoring,3912,user3912,regular,no attack,true negative
infrastructure,metric,3444,user3444,malicious,attack 1,false positive
infrastructure,log,3444,user3444,malicious,attack 1,true positive
infrastructure,trace,3444,user3444,malicious,attack 1,false positive
infrastructure,ignoring,4352,user4352,regular,no attack,true negative
infrastructure,metric,1677,user1677,malicious,attack 1,false positive
infrastructure,log,1677,user1677,malicious,attack 1,true positive
infrastructure,trace,1677,user1677,malicious,attack 1,false positive
business,metric,8334,user8334,regular,no attack,false positive
business,log,8334,user8334,regular,no attack,false positive
business,trace,8334,user8334,regular,no attack,false positive
business,ignoring,7636,user7636,malicious,attack 2,false negative
business,ignoring,2811,user2811,malicious,attack 1,false negative
business,metric,2401,user2401,regular,no attack,false positive
business,log,2401,user2401,regular,no attack,false positive
business,trace,2401,user2401,regular,no attack,false positive
infrastructure,ignoring,418,user418,regular,no attack,true negative
business,ignoring,1374,user1374,malicious,attack 2,false negative
business,ignoring,8841,user8841,malicious,attack 2,false negative
business,ignoring,676,user676,regular,no attack,true negative
business,ignoring,9214,user9214,regular,no attack,true negative
business,ignoring,3920,user3920,regular,no attack,true negative
business,ignoring,257,user257,malicious,attack 2,false negative
business,metric,5603,user5603,malicious,attack 1,false positive
business,log,5603,user5603,malicious,attack 1,true positive
business,trace,5603,user5603,malicious,attack 1,false positive
infrastructure,metric,2664,user2664,regular,no attack,false positive
infrastructure,log,2664,user2664,regular,no attack,false positive
infrastructure,trace,2664,user2664,regular,no attack,false positive
infrastructure,metric,594,user594,regular,no attack,false positive
infrastructure,log,594,user594,regular,no attack,false positive
infrastructure,trace,594,user594,regular,no attack,false positive
infrastructure,metric,61,user61,malicious,attack 2,false positive
infrastructure,log,61,user61,malicious,attack 2,false positive
infrastructure,trace,61,user61,malicious,attack 2,true positive
business,metric,1538,user1538,malicious,attack 1,false positive
business,log,1538,user1538,malicious,attack 1,true positive
business,trace,1538,user1538,malicious,attack 1,false positive
infrastructure,metric,3428,user3428,regular,no attack,false positive
infrastructure,log,3428,user3428,regular,no attack,false positive
infrastructure,trace,3428,user3428,regular,no attack,false positive
business,metric,6010,user6010,regular,no attack,false positive
business,log,6010,user6010,regular,no attack,false positive
business,trace,6010,user6010,regular,no attack,false positive
infrastructure,ignoring,1278,user1278,malicious,attack 2,false negative
infrastructure,ignoring,747,user747,regular,no attack,true negative
infrastructure,ignoring,6701,user6701,malicious,attack 1,false negative
infrastructure,metric,2716,user2716,malicious,attack 2,false positive
infrastructure,log,2716,user2716,malicious,attack 2,false positive
infrastructure,trace,2716,user2716,malicious,attack 2,true positive
infrastructure,ignoring,5541,user5541,malicious,attack 1,false negative
business,ignoring,4305,user4305,malicious,attack 2,false negative
business,ignoring,1941,user1941,regular,no attack,true negative
business,metric,1431,user1431,malicious,attack 2,false positive
business,log,1431,user1431,malicious,attack 2,false positive
business,trace,1431,user1431,malicious,attack 2,true positive
infrastructure,metric,3861,user3861,regular,no attack,false positive
infrastructure,log,3861,user3861,regular,no attack,false positive
infrastructure,trace,3861,user3861,regular,no attack,false positive
business,ignoring,1463,user1463,regular,no attack,true negative
infrastructure,ignoring,490,user490,malicious,attack 2,false negative
business,metric,115,user115,malicious,attack 1,false positive
business,log,115,user115,malicious,attack 1,true positive
business,trace,115,user115,malicious,attack 1,false positive
infrastructure,metric,2378,user2378,regular,no attack,false positive
infrastructure,log,2378,user2378,regular,no attack,false positive
infrastructure,trace,2378,user2378,regular,no attack,false positive
