business,metric,6384,user6384,malicious,attack 1,false positive
business,log,6384,user6384,malicious,attack 1,true positive
business,trace,6384,user6384,malicious,attack 1,false positive
business,ignoring,9580,user9580,regular,no attack,true negative
infrastructure,ignoring,3405,user3405,regular,no attack,true negative
business,metric,4636,user4636,malicious,attack 1,false positive
business,log,4636,user4636,malicious,attack 1,true positive
business,trace,4636,user4636,malicious,attack 1,false positive
business,metric,7435,user7435,regular,no attack,false positive
business,log,7435,user7435,regular,no attack,false positive
business,trace,7435,user7435,regular,no attack,false positive
business,ignoring,8542,user8542,malicious,attack 2,false negative
infrastructure,metric,8585,user8585,regular,no attack,false positive
infrastructure,log,8585,user8585,regular,no attack,false positive
infrastructure,trace,8585,user8585,regular,no attack,false positive
infrastructure,ignoring,5259,user5259,malicious,attack 2,false negative
infrastructure,metric,4079,user4079,regular,no attack,false positive
infrastructure,log,4079,user4079,regular,no attack,false positive
infrastructure,trace,4079,user4079,regular,no attack,false positive
infrastructure,ignoring,2171,user2171,regular,no attack,true negative
business,ignoring,1355,user1355,regular,no attack,true negative
business,metric,6962,user6962,regular,no attack,false positive
business,log,6962,user6962,regular,no attack,false positive
business,trace,6962,user6962,regular,no attack,false positive
business,metric,8609,user8609,malicious,attack 1,false positive
business,log,8609,user8609,malicious,attack 1,true positive
business,trace,8609,user8609,malicious,attack 1,false positive
infrastructure,ignoring,8975,user8975,regular,no attack,true negative
business,metric,1029,user1029,malicious,attack 1,false positive
business,log,1029,user1029,malicious,attack 1,true positive
business,trace,1029,user1029,malicious,attack 1,false positive
business,ignoring,9548,user9548,malicious,attack 1,false negative
infrastructure,ignoring,1904,user1904,malicious,attack 1,false negative
business,ignoring,4034,user4034,malicious,attack 1,false negative
business,ignoring,3058,user3058,regular,no attack,true negative
infrastructure,ignoring,4796,user4796,malicious,attack 1,false negative
infrastructure,ignoring,8997,user8997,regular,no attack,true negative
business,metric,9823,user9823,malicious,attack 2,false positive
business,log,9823,user9823,malicious,attack 2,false positive
business,trace,9823,user9823,malicious,attack 2,true positive
infrastructure,ignoring,9648,user9648,malicious,attack 2,false negative
infrastructure,metric,5253,user5253,malicious,attack 2,false positive
infrastructure,log,5253,user5253,malicious,attack 2,false positive
infrastructure,trace,5253,user5253,malicious,attack 2,true positive
infrastructure,metric,8708,user8708,malicious,attack 1,false positive
infrastructure,log,8708,user8708,malicious,attack 1,true positive
infrastructure,trace,8708,user8708,malicious,attack 1,false positive
infrastructure,metric,5453,user5453,malicious,attack 2,false positive
infrastructure,log,5453,user5453,malicious,attack 2,false positive
infrastructure,trace,5453,user5453,malicious,attack 2,true positive
business,metric,6486,user6486,malicious,attack 2,false positive
business,log,6486,user6486,malicious,attack 2,false positive
business,trace,6486,user6486,malicious,attack 2,true positive
infrastructure,ignoring,3558,user3558,regular,no attack,true negative
